Name,Label,Country_specific,Scale_type,Type,Format,Valid,Invalid,Question,Group
cntry,Country,no,nominal,discrete,character-2,36015,0,5 Country,Group Country
dweight,Design weight,no,continuous,continuous,numeric-4.2,36015,0,R17 Design weight,Group Weights
pweight,Population size weight (must be combined with dweight or pspwght),no,continuous,continuous,numeric-8.2,36015,0,R19 Population size weight (must be combined with dweight or pspwght),Group Weights
nwspol,"News about politics and current affairs, watching, reading or listening, in minutes",no,continuous,continuous,numeric-4.0,35929,386,"A1 On a typical day, about how much time do you spend watching, reading or listening to news about politics and current affairs?",Group Media and social trust
netusoft,"Internet use, how often",no,ordinal,discrete,numeric-1.0,35983,32,"A2 People can use the internet on different devices such as computers, tablets and smartphones. How often do you use the internet on these or any other devices, whether for work or personal use?",Group Media and social trust
netustm,"Internet use, how much time on typical day, in minutes",no,continuous,continuous,numeric-4.0,25029,10986,"A3 On a typical day, about how much time do you spend using the internet on a computer, tablet, smartphone or other device, whether for work or personal use?",Group Media and social trust
ppltrst,Most people can be trusted or you can't be too careful,no,ordinal,discrete,numeric-2.0,35906,109,"A4 Using this card, generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me
on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",Group Media and social trust
pplfair,"Most people try to take advantage of you, or try to be fair",no,ordinal,discrete,numeric-2.0,35787,228,"A5 Using this card, do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?",Group Media and social trust
pplhlp,Most of the time people helpful or mostly looking out for themselves,no,ordinal,discrete,numeric-2.0,35875,140,A6 Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves?,Group Media and social trust
polintr,How interested in politics,no,ordinal,discrete,numeric-1.0,35941,74,B1 How interested would you say you are in politics - are you...,Group Politics
psppsgva,Political system allows people to have a say in what government does,no,ordinal,discrete,numeric-1.0,34846,1169,B2 How much would you say the political system in [country] allows people like you to have a say in what the government does?,Group Politics
actrolga,Able to take active role in political group,no,ordinal,discrete,numeric-1.0,35080,935,B3 How able do you think you are to take an active role in a group involved with political issues?,Group Politics
psppipla,Political system allows people to have influence on politics,no,ordinal,discrete,numeric-1.0,35040,975,B4 And how much would you say that the political system in [country] allows people like you to have an influence on politics?,Group Politics
cptppola,Confident in own ability to participate in politics,no,ordinal,discrete,numeric-1.0,34798,1217,B5 And how confident are you in your own ability to participate in politics?,Group Politics
trstprl,Trust in country's parliament,no,ordinal,discrete,numeric-2.0,35147,868,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...[country]'s parliament?",Group Politics
trstlgl,Trust in the legal system,no,ordinal,discrete,numeric-2.0,35313,702,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust
an institution at all, and 10 means you have complete trust. Firstly... ...the legal system?",Group Politics
trstplc,Trust in the police,no,ordinal,discrete,numeric-2.0,35747,268,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the police?",Group Politics
trstplt,Trust in politicians,no,ordinal,discrete,numeric-2.0,35292,723,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...politicians?",Group Politics
trstprt,Trust in political parties,no,ordinal,discrete,numeric-2.0,35184,831,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust
an institution at all, and 10 means you have complete trust. Firstly... ...political parties?",Group Politics
trstep,Trust in the European Parliament,no,ordinal,discrete,numeric-2.0,33440,2575,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the European Parliament?",Group Politics
trstun,Trust in the United Nations,no,ordinal,discrete,numeric-2.0,32966,3049,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the United
Nations?",Group Politics
vote,Voted last national election,no,nominal,discrete,numeric-1.0,35603,412,B13 Some people don't vote nowadays for one reason or another. Did you vote in the last [country] national election in [month/year]?,Group Politics
prtvtcat,"Party voted for in last national election, Austria",yes,nominal,discrete,numeric-2.0,1709,34306,B14AT Which party did you vote for in that election? (Austria),Group Politics
prtvtdbe,"Party voted for in last national election, Belgium",yes,nominal,discrete,numeric-2.0,1111,34904,B14BE Which party did you vote for in that election? (Belgium),Group Politics
prtvtdbg,"Party voted for in last national election, Bulgaria",yes,nominal,discrete,numeric-2.0,813,35202,B14BG Which party did you vote for in that election? (Bulgaria),Group Politics
prtvtgch,"Party voted for in last national election, Switzerland",yes,nominal,discrete,numeric-2.0,634,35381,B14CH Which party did you vote for in that election? (Switzerland),Group Politics
prtvtbcy,"Party voted for in last national election, Cyprus",yes,nominal,discrete,numeric-2.0,293,35722,B14CY Which party did you vote for in that election? (Cyprus),Group Politics
prtvtecz,"Party voted for in last national election, Czechia",yes,nominal,discrete,numeric-2.0,1360,34655,B14CZ Which party did you vote for in that election? (Czechia),Group Politics
prtvede1,"Party voted for in last national election 1, Germany",yes,nominal,discrete,numeric-2.0,1572,34443,B14DE Which party did you vote for in that election? (Germany 1),Group Politics
prtvede2,"Party voted for in last national election 2, Germany",yes,nominal,discrete,numeric-2.0,1627,34388,B14DE Which party did you vote for in that election? (Germany 2),Group Politics
prtvtgee,"Party voted for in last national election, Estonia",yes,nominal,discrete,numeric-2.0,1066,34949,B14EE Which party did you vote for in that election? (Estonia),Group Politics
prtvtdfi,"Party voted for in last national election, Finland",yes,nominal,discrete,numeric-2.0,1205,34810,B14FI Which party did you vote for in that election? (Finland),Group Politics
prtvtdfr,"Party voted for in last national election, France (ballot 1)",yes,nominal,discrete,numeric-2.0,946,35069,B14FR Which party did you vote for in that election? (France),Group Politics
prtvtcgb,"Party voted for in last national election, United Kingdom",yes,nominal,discrete,numeric-2.0,1541,34474,B14GB Which party did you vote for in that election? (United Kingdom),Group Politics
prtvtfhu,"Party voted for in last national election, Hungary",yes,nominal,discrete,numeric-2.0,946,35069,B14HU Which party did you vote for in that election? (Hungary),Group Politics
prtvtcie,"Party voted for in last national election, Ireland (derived from 1st preference vote)",yes,nominal,discrete,numeric-2.0,1410,34605,B14IE Which party did you vote for in that election? (Ireland),Group Politics
prtvtcit,"Party voted for in last national election, Italy",yes,nominal,discrete,numeric-2.0,1282,34733,B14IT Which party did you vote for in that election? (Italy),Group Politics
prtvtgnl,"Party voted for in last national election, Netherlands",yes,nominal,discrete,numeric-2.0,1206,34809,B14NL Which party did you vote for in that election? (Netherlands),Group Politics
prtvtbno,"Party voted for in last national election, Norway",yes,nominal,discrete,numeric-2.0,1101,34914,B14NO Which party did you vote for in that election? (Norway),Group Politics
prtvtdpl,"Party voted for in last national election, Poland",yes,nominal,discrete,numeric-2.0,818,35197,B14PL Which party did you vote for in that election? (Poland),Group Politics
prtvtrs,"Party voted for in last national election, Serbia",yes,nominal,discrete,numeric-2.0,931,35084,B14SE Which party did you vote for in that election? (Sweden),Group Politics
prtvtfsi,"Party voted for in last national election, Slovenia",yes,nominal,discrete,numeric-2.0,627,35388,B14SI Which party did you vote for in that election? (Slovenia),Group Politics
contplt,Contacted politician or government official last 12 months,no,binary,discrete,numeric-1.0,35840,175,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Have you... ...contacted a politician, government or local government official?",Group Politics
wrkprty,Worked in political party or action group last 12 months,no,binary,discrete,numeric-1.0,35852,163,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worked in a political party or action group?",Group Politics
wrkorg,Worked in another organisation or association last 12 months,no,binary,discrete,numeric-1.0,35837,178,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worked in another organisation or association?",Group Politics
badge,Worn or displayed campaign badge/sticker last 12 months,no,binary,discrete,numeric-1.0,35834,181,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worn or displayed a campaign badge/sticker?",Group Politics
sgnptit,Signed petition last 12 months,no,binary,discrete,numeric-1.0,35779,236,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...signed a petition?",Group Politics
pbldmn,Taken part in lawful public demonstration last 12 months,no,binary,discrete,numeric-1.0,35829,186,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...taken part in a lawful public demonstration?",Group Politics
bctprd,Boycotted certain products last 12 months,no,binary,discrete,numeric-1.0,35769,246,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...contacted a politician, government or local government official?",Group Politics
pstplonl,Posted or shared anything about politics online last 12 months,no,binary,discrete,numeric-1.0,35807,208,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going wrong. During
the last 12 months, have you done any of the following? Have you... ...posted or shared anything about politics online, for
example on blogs, via email or on social media such as Facebook or Twitter?",Group Politics
clsprty,Feel closer to a particular party than all other parties,no,binary,discrete,numeric-1.0,34997,1018,B23 Is there a particular political party you feel closer to than all the other parties?,Group Politics
prtcldat,"Which party feel closer to, Austria",yes,nominal,discrete,numeric-2.0,1195,34820,B24AT Which one? (Austria),Group Politics
